"Age Group 1 by Crash Time (Hour)",,"Crash Date (Year)",,,,,,,,,,,,,,,
,,"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Total"
,"9:00am-9:59am",3,1,1,1,1,1,0,0,0,0,2,2,6,3,4,25
,"10:00am-10:59am",4,1,1,2,3,0,0,1,0,1,1,2,1,2,3,22
,"11:00am-11:59am",5,2,3,1,3,1,1,0,1,5,0,2,1,1,1,27
,"12:00pm-12:59pm",3,1,2,1,3,0,2,3,1,1,2,2,4,2,6,33
,"1:00pm-1:59pm",1,2,2,1,1,1,0,1,2,0,2,2,0,2,4,21
,"2:00pm-2:59pm",3,4,2,7,3,3,0,0,1,2,3,4,3,4,2,41
,"3:00pm-3:59pm",1,4,3,5,2,2,1,2,0,1,3,2,2,3,2,33
,"4:00pm-4:59pm",3,4,1,5,1,2,0,3,1,0,4,2,4,4,1,35
,"5:00pm-5:59pm",4,4,5,3,1,2,2,1,1,0,2,1,2,3,6,37
,"6:00pm-6:59pm",5,6,10,5,3,2,3,2,0,4,6,4,4,7,5,66
,"7:00pm-7:59pm",1,6,3,11,5,3,3,1,2,5,4,6,10,9,4,73
,"8:00pm-8:59pm",8,9,5,5,2,1,3,6,3,5,6,7,13,8,15,96
,"9:00pm-9:59pm",10,11,6,6,3,2,3,1,6,3,8,8,8,13,9,97
,"10:00pm-10:59pm",5,5,7,12,6,6,4,5,3,1,5,8,10,7,8,92
,"11:00pm-11:59pm",6,11,10,10,4,9,3,4,1,5,6,4,12,12,7,104
,"Unknown Hours",2,2,1,0,0,4,0,2,1,1,0,1,0,0,1,15
,"Total",113,120,108,122,71,62,46,52,50,55,81,80,119,123,132,1334

"Total","0:00am-0:59am",1687,1790,1775,1684,1613,1433,1306,1304,1396,1315,1280,1393,1501,1467,1379,22323
,"1:00am-1:59am",1753,1851,1859,1798,1590,1370,1361,1340,1366,1209,1207,1360,1424,1299,1343,22130
,"2:00am-2:59am",1864,1940,1933,1990,1771,1589,1505,1500,1523,1391,1311,1326,1510,1381,1357,23891
,"3:00am-3:59am",1246,1250,1316,1338,1140,1084,1051,992,1079,987,948,1039,1143,1070,952,16635
,"4:00am-4:59am",1017,1043,1106,986,918,831,790,829,822,814,850,834,940,889,875,13544
